iter	Logloss
0	0.6555511079
1	0.6209828157
2	0.5918311959
3	0.5635459953
4	0.5374698658
5	0.5147020486
6	0.4916532142
7	0.4723714903
8	0.453190234
9	0.4348422628
10	0.419443604
11	0.4027253262
12	0.3889552656
13	0.3757864286
14	0.3656091053
15	0.3530765735
16	0.3414660194
17	0.3315834357
18	0.3233420466
19	0.3139460403
20	0.305558179
21	0.2994103018
22	0.2945695385
23	0.2872040312
24	0.2810766614
25	0.2766691685
26	0.2719997965
27	0.2674461966
28	0.2626124008
29	0.2576132686
30	0.2531748018
31	0.2501977557
32	0.2461374117
33	0.2428913668
34	0.2393907146
35	0.2364336738
36	0.2337781577
37	0.2317304526
38	0.2298144629
39	0.2278042581
40	0.2264934932
41	0.2244555396
42	0.2226919705
43	0.22087549
44	0.2190122443
45	0.2172914241
46	0.2152760164
47	0.2136644875
48	0.2119710814
49	0.2106378466
50	0.2092579683
51	0.2079197284
52	0.20689564
53	0.2061907387
54	0.2055282821
55	0.2045105832
56	0.2033719551
57	0.2025492736
58	0.2020371381
59	0.2011522196
60	0.200467065
61	0.1996500428
62	0.1987366149
63	0.1982789425
64	0.1977030335
65	0.197114741
66	0.1968139466
67	0.1963659193
68	0.1960689282
69	0.195466168
70	0.1947928188
71	0.1942398512
72	0.1937521481
73	0.1935420545
74	0.1929751213
75	0.1924960896
76	0.1920149281
77	0.1915448722
78	0.1911427887
79	0.1906625856
80	0.1903548997
81	0.189980215
82	0.1895870159
83	0.189240932
84	0.188963292
85	0.1887230612
86	0.1884265721
87	0.1880965989
88	0.1877220359
89	0.1874076258
90	0.1871654324
91	0.1868685174
92	0.1866205887
93	0.1864410127
94	0.1861579264
95	0.1859009458
96	0.1857714819
97	0.1856340159
98	0.1854108694
99	0.1853578364
100	0.1851094057
101	0.1849606515
102	0.1848299705
103	0.184656708
104	0.184439023
105	0.1841892535
106	0.1840288309
107	0.1839397883
108	0.1838225253
109	0.1837002116
110	0.1834734901
111	0.1832710182
112	0.183113836
113	0.1829639712
114	0.1827398359
115	0.1826561027
116	0.1825137989
117	0.1824526573
118	0.1823559169
119	0.1822363719
120	0.1820828408
121	0.1819896755
122	0.1818743294
123	0.1818228937
124	0.181802858
125	0.1817250884
126	0.1816820048
127	0.1816023487
128	0.1814574283
129	0.1813110473
130	0.1812201335
131	0.1811228911
132	0.1811129721
133	0.1809972609
134	0.1808290795
135	0.1807180235
136	0.180608215
137	0.1804656526
138	0.1804495571
139	0.1803761536
140	0.180318937
141	0.1803051234
142	0.1801689353
143	0.180159564
144	0.1801107298
145	0.1800257796
146	0.1799725792
147	0.179965429
148	0.1798484551
149	0.1798411528
150	0.1797710202
151	0.1796566325
152	0.1796407196
153	0.1795997962
154	0.179495434
155	0.1794141197
156	0.1792845341
157	0.1792743109
158	0.179215436
159	0.1791701768
160	0.1791476462
161	0.1791155616
162	0.1789838614
163	0.1789259906
164	0.1789075218
165	0.17884851
166	0.1788220087
167	0.1787732201
168	0.178752226
169	0.1786819108
170	0.1786757191
171	0.1785710222
172	0.178559445
173	0.1785547441
174	0.1785392875
175	0.1784281555
176	0.1783512986
177	0.1783302893
178	0.1782998478
179	0.1781594
180	0.1781458907
181	0.1780837298
182	0.1780583999
183	0.1779897125
184	0.1779805846
185	0.1779622071
186	0.1779585255
187	0.1778692244
188	0.177827449
189	0.1777754505
190	0.1777278942
191	0.1776714534
192	0.1776599523
193	0.1775995256
194	0.1774562786
195	0.1774117954
196	0.1774036107
197	0.1772898316
198	0.177283868
199	0.1771635776
200	0.1770952706
201	0.1770351178
202	0.1770121611
203	0.1768882957
204	0.1768308356
205	0.1767910076
206	0.1767841312
207	0.1767554545
208	0.1767019802
209	0.1766832529
210	0.1766450831
211	0.1766417666
212	0.176619738
213	0.1766019081
214	0.1765122418
215	0.176446658
216	0.176425466
217	0.1763065601
218	0.1762667929
219	0.176223481
220	0.1761483433
221	0.1760936368
222	0.1760579772
223	0.1760436768
224	0.1759902482
225	0.1759488989
226	0.1759030769
227	0.1758247596
228	0.1757755146
229	0.1756809649
230	0.1756388245
231	0.175616948
232	0.1755652233
233	0.1755629261
234	0.1754888837
235	0.1754794668
236	0.1754230412
237	0.1753967833
238	0.1753700081
239	0.1753036636
240	0.1752519541
241	0.1751788701
242	0.1751746713
243	0.1751397419
244	0.1750812017
245	0.1750729866
246	0.1749853741
247	0.1749580665
248	0.1749405561
249	0.1749335125
250	0.1749104341
251	0.1748928933
252	0.1748771325
253	0.1747958791
254	0.1747133173
255	0.1746802744
256	0.174674539
257	0.1746210952
258	0.1745836556
259	0.1745244004
