iter	Passed	Remaining
398	86840	130805
399	87055	130583
400	87274	130366
401	87489	130145
402	87710	129933
403	87925	129711
404	88145	129498
405	88361	129277
406	88574	129053
407	88787	128829
408	89003	128609
409	89215	128383
410	89434	128168
411	89647	127943
412	89863	127724
413	90078	127502
414	90296	127284
415	90509	127061
416	90727	126844
417	90944	126626
418	91163	126410
419	91379	126191
420	91594	125969
421	91810	125750
422	92026	125529
423	92241	125309
424	92455	125086
425	92665	124859
426	92883	124641
427	93098	124420
428	93319	124208
429	93533	123986
430	93748	123764
431	93965	123546
432	94188	123336
433	94405	123119
434	94616	122893
435	94841	122684
436	95059	122467
437	95275	122248
438	95490	122027
439	95704	121805
440	95919	121585
441	96136	121366
442	96353	121148
443	96571	120931
444	96782	120706
445	96995	120483
446	97210	120262
447	97426	120042
448	97638	119819
449	97861	119609
450	98077	119388
451	98294	119171
452	98503	118943
453	98718	118722
454	98932	118501
455	99150	118285
456	99371	118071
457	99587	117852
458	99800	117629
459	100021	117416
460	100230	117189
461	100458	116983
462	100667	116756
463	100883	116537
464	101094	116313
465	101315	116099
466	101527	115875
467	101736	115648
468	101953	115431
469	102172	115215
470	102386	114994
471	102639	114816
472	102911	114660
473	103125	114438
474	103340	114218
475	103557	114000
476	103768	113775
477	103984	113556
478	104200	113336
479	104408	113108
480	104628	112894
481	104846	112677
482	105063	112459
483	105274	112235
484	105489	112014
485	105709	111799
486	105924	111579
487	106139	111359
488	106357	111142
489	106569	110918
490	106784	110699
491	107001	110481
492	107215	110260
493	107434	110043
494	107651	109826
495	107870	109610
496	108086	109390
497	108301	109171
498	108516	108951
499	108734	108734
500	108950	108515
501	109167	108297
502	109386	108081
503	109601	107862
504	109818	107643
505	110036	107426
506	110252	107207
507	110468	106988
508	110681	106767
509	110903	106554
510	111119	106335
511	111338	106119
512	111555	105901
513	111769	105681
514	111989	105466
515	112213	105254
516	112429	105035
517	112674	104844
518	112918	104650
519	113163	104458
520	113389	104248
521	113607	104031
522	113822	103811
523	114039	103592
524	114253	103371
525	114466	103150
526	114679	102928
527	114892	102706
528	115107	102486
529	115322	102266
530	115533	102043
531	115749	101824
532	115965	101605
533	116193	101397
534	116405	101175
535	116617	100952
