iter	Passed	Remaining
410	4479	3695
411	4489	3683
412	4501	3673
413	4513	3663
414	4525	3653
415	4537	3643
416	4553	3635
417	4565	3626
418	4576	3615
419	4589	3606
420	4603	3597
421	4613	3585
422	4623	3574
423	4634	3563
424	4645	3552
425	4655	3540
426	4665	3528
427	4675	3517
428	4684	3505
429	4694	3493
430	4703	3480
431	4712	3469
432	4723	3457
433	4736	3448
434	4748	3438
435	4757	3426
436	4769	3416
437	4780	3405
438	4789	3392
439	4799	3381
440	4810	3370
441	4819	3358
442	4830	3347
443	4841	3336
444	4850	3324
445	4860	3312
446	4871	3302
447	4879	3289
448	4889	3278
449	4900	3266
450	4908	3254
451	4919	3243
452	4928	3231
453	4937	3219
454	4943	3204
455	4952	3193
456	4964	3182
457	4974	3171
458	4986	3161
459	4995	3149
460	5001	3135
461	5012	3124
462	5026	3116
463	5034	3103
464	5044	3091
465	5051	3078
466	5061	3066
467	5072	3056
468	5085	3047
469	5096	3036
470	5106	3024
471	5117	3013
472	5128	3003
473	5136	2991
474	5149	2981
475	5161	2970
476	5170	2959
477	5182	2948
478	5192	2937
479	5203	2926
480	5213	2915
481	5225	2905
482	5238	2895
483	5248	2884
484	5258	2873
485	5269	2862
486	5280	2851
487	5290	2840
488	5300	2829
489	5308	2816
490	5317	2804
491	5328	2794
492	5336	2782
493	5347	2770
494	5351	2756
495	5362	2745
496	5372	2734
497	5381	2723
498	5392	2712
499	5403	2701
500	5412	2689
501	5423	2679
502	5433	2668
503	5443	2656
504	5456	2647
505	5467	2636
506	5479	2626
507	5489	2615
508	5499	2603
509	5511	2593
510	5523	2583
511	5533	2572
512	5545	2561
513	5555	2550
514	5567	2540
515	5576	2528
516	5586	2517
517	5596	2506
518	5604	2494
519	5614	2483
520	5624	2472
521	5633	2460
522	5642	2449
523	5651	2437
524	5660	2426
525	5673	2416
526	5691	2408
527	5705	2399
528	5721	2390
529	5729	2378
530	5739	2366
531	5750	2356
532	5759	2344
533	5770	2334
534	5784	2324
535	5795	2313
536	5806	2303
537	5816	2291
538	5828	2281
539	5840	2271
540	5847	2259
541	5863	2250
542	5877	2240
543	5883	2227
544	5895	2217
545	5907	2207
