iter	RMSE
352	197.2056172
353	197.1413387
354	197.0245034
355	196.992535
356	196.9854069
357	196.8588876
358	196.8389665
359	196.6373523
360	196.28203
361	196.1893026
362	196.1542564
363	196.0431556
364	196.0368269
365	195.5108584
366	195.3823189
367	195.2833466
368	195.2136802
369	195.095298
370	195.0884951
371	194.7739936
372	194.7045948
373	194.5717207
374	194.5660691
375	194.4372591
376	194.0982129
377	193.9772123
378	193.803697
379	193.7558639
380	193.5758002
381	193.512867
382	193.4606191
383	193.229365
384	193.2193991
385	193.0660367
386	193.0090597
387	192.9314459
388	192.8262853
389	192.7231085
390	192.5916381
391	192.3791527
392	192.3602938
393	192.2705689
394	191.8750702
395	191.7970256
396	191.7931447
397	191.7200004
398	191.6950558
399	191.5196343
400	191.5067164
401	191.3645424
402	191.280412
403	191.0699133
404	191.0460107
405	190.988322
406	190.8851226
407	190.750427
408	190.6222875
409	190.5780511
410	190.4829954
411	190.4426458
412	190.4299066
413	190.3225079
414	190.0573768
415	189.7792433
416	189.7303529
417	189.5193111
418	189.5158688
419	189.4687816
420	189.2177829
421	189.1705215
422	189.1541374
423	189.0949553
424	188.9962506
425	188.8885955
426	188.7432562
427	188.6612914
428	188.5083927
429	188.3688342
430	188.2741843
431	188.2195748
432	188.2137528
433	188.1262943
434	188.0514685
435	187.9752832
436	187.6516746
437	187.6243799
438	187.5353985
439	187.477103
440	187.4015854
441	187.2807495
442	187.2748327
443	187.1910329
444	187.0028485
445	186.9623989
446	186.9118206
447	186.728523
448	186.6899496
449	186.6385422
450	186.6053503
451	186.6008195
452	186.5124911
453	186.2768386
454	186.2713123
455	185.9998009
456	185.9801327
457	185.7416027
458	185.5978262
459	185.5367109
460	185.483118
461	185.3785966
462	185.3148113
463	185.3118786
464	185.2400551
465	185.0958862
466	184.9035347
467	184.6912506
468	184.6536721
469	184.6035563
470	184.5041968
471	184.4079204
472	184.3933625
473	184.2069566
474	184.1561349
475	184.1324163
476	184.03392
477	183.9720224
478	183.8588436
479	183.8458857
480	183.7960702
481	183.7356469
482	183.5323308
483	183.4617827
484	183.3554232
485	183.2970897
486	183.241088
487	183.0309759
488	183.0008619
489	182.9391166
490	182.9017887
491	182.8351626
492	182.7813172
493	182.5621597
494	182.2982104
495	182.091011
496	182.0804872
497	182.0678633
498	182.0297772
499	181.8330964
